ranking,schoolname,address1,address2,latitude,longitude,roll_number,id
19,Salerno Jesus and Mary Secondary School, Salthill,  Galway,53.2638001,-9.0895561,NULL,22
29,St Michael's College, Ailesbury Road, Dublin 4,53.3193092,-6.2174102,NULL,32
33,Rathdown School, Glenageary, Co Dublin (B),53.27728,-6.1307468,NULL,36
37,Colaiste Ide, Dingle, Co Kerry (G) (B),52.1267255,-10.3048657,NULL,40
38,Ursuline Secondary School, Thurles, Co Tipperary (B),52.6814189,-7.8070551,NULL,41
42,Dominican College, Drumcondra, Dublin 9,53.373982,-6.2482794,NULL,45
50,Colaiste Pobail Osrai, Ormonde Road, Kilkenny,52.6487452,-7.2530582,NULL,53
51,Notre Dame School, Dundrum, Dublin 14,53.293852,-6.250994,NULL,54
74,BC, Monkstown, Co Dublin,53.2853253,-6.1479872,NULL,77
77,Scoil Mhuire gan Smal, Roscommon, 9Scoil Mhuire gan Smal,53.6280154,-8.1966823,NULL,80
86,Loreto Secondary School, Granges Road, Kilkenny,52.6589505,-7.2606511,NULL,89
88,East Glendalough School, Station Road, Wicklow,52.9875182,-6.0540988,NULL,91
99,Dominican College, Taylor's Hill, Galway,53.2681461,-9.0760287,NULL,102
112,Meanscoil Iognaid Ris, Naas, Co Kildare,53.2157141,-6.6614147,NULL,115
118,St Aloysius' College, Carrigtwohill, Co Cork,51.9098686,-8.2593207,NULL,121
119,Colaiste Chilliain, Clondalkin, Dublin 22,53.3231339,-6.4023791,NULL,122
121,Mount Temple Comprehensive School, Clontarf, Dublin 3,53.3691594,-6.2224862,NULL,124
125,Scoil Mhuire agus Ide, Newcastle West, Co Limerick,52.4464932,-9.0594866,NULL,128
126,Our Lady's Grove, Goatstown Road, Dublin 14,53.3006942,-6.2338977,NULL,129
135,Rice College, Ennis, Co Clare,52.8481363,-8.979207,NULL,138
140,St Mary's High School, Midleton, Co Cork,51.9082072,-8.1696676,NULL,143
141,Dundalk Grammar School, Dundalk, Co Louth (B),53.9976335,-6.4103045,NULL,144
146,Mean Scoil Naomh Ioseph, Castleisland, Co Kerry,52.2300415,-9.4659594,NULL,149
149,St Peter's College, Summerhill, Wexford,52.3350512,-6.4723007,NULL,152
151,Presentation Secondary School, Thurles, Co Tipperary (B),52.6814189,-7.8070551,NULL,154
152,FCJ Secondary School, Bunclody, Co Wexford,52.6563139,-6.6463816,NULL,155
156,St Patrick's Classical School, Navan, Co Meath,53.6530425,-6.6983244,NULL,159
165,Colaiste Daibheid, An t-Ardan Theas, Cork,51.8943,-8.4678638,NULL,168
167,St Patrick's College, Cavan, ,54.0087921,-7.3532294,NULL,170
168,Colaiste Einde, Threadneedle Road, Galway,53.2655875,-9.0896355,NULL,171
178,Colaiste Bride, Enniscorthy, Co Wexford,52.5027873,-6.5589273,NULL,181
182,Boherbue Comprehensive School, Mallow, Co Cork,52.1594364,-9.0618548,NULL,185
183,St Mary's Secondary School, Newport, Co Tipperary,52.7108055,-8.4117531,NULL,186
186,CBS, Mitchelstown, Co Cork,52.2637727,-8.2666108,NULL,189
190,St Raphaela's Secondary School, Stillorgan, Co Dublin,53.2830554,-6.2056634,NULL,193
193,Bandon Grammar School, Bandon, Co Cork (B),51.7336025,-8.7493985,NULL,196
200,John Scottus Secondary School, Donnybrook, Dublin 4,53.3344637,-6.2373238,NULL,203
204,The Intermediate School, Killorglin, Co Kerry,52.1070849,-9.795216,NULL,207
209,St Joseph's Secondary School, Miltown Malbay, Co Clare,52.8531247,-9.4026556,NULL,212
214,St Finian's College, Mullingar, Co Westmeath,53.5397016,-7.3551727,NULL,217
223,Newtown School, Waterford (B), ,52.251899,-7.1010438,NULL,226
227,Patrician Academy, Mallow, Co Cork,52.1392577,-8.6445507,NULL,230
230,Scoil Mhuire, Ballinasloe, Co Galway,53.3280519,-8.2011777,NULL,233
233,Ursuline College, Sligo, 5Ursuline College,54.276431,-8.4877887,NULL,236
236,Loreto College, Swords, Co Dublin,53.454323,-6.2456039,NULL,239
246,St Patrick's Cathedral GS, St Patrick's Close, Dublin 8,53.3395154,-6.2714767,NULL,249
251,Carrick Vocational School, Carrick, Co Donegal,54.6553208,-8.6331113,NULL,254
252,The Abbey School, Station Road, Tipperary,52.4716694,-8.1605921,NULL,255
261,Gaelcholaiste Mhuire, North Monastery Road, Cork,51.9092245,-8.4806722,NULL,264
266,Heywood Community School, Ballinakill, Co Laois,52.8854675,-7.2994619,NULL,269
268,Gort Community School, Gort, Co Galway,53.0615103,-8.8112481,NULL,271
276,Clifden Community School, Clifden, Co Galway,53.4784388,-10.0218035,NULL,279
284,Sancta Maria College, Ballyroan, Dublin 16,53.2844396,-6.304447,NULL,287
315,St Mary's Secondary School, Glasnevin, Dublin 11,53.3761994,-6.2726919,NULL,318
316,Glenamaddy Community School, Glenamaddy, Co Galway,53.6074467,-8.5658524,NULL,319
324,CBS Secondary School, Tralee, Co Kerry,52.2729968,-9.6994739,NULL,327
325,Patrician High School, Carrickmacross, Co Monaghan,53.9826021,-6.7156605,NULL,328
337,Castlecomer Community School, Castlecomer, Co Kilkenny,52.8036808,-7.2156799,NULL,340
338,Dominican College Sion Hill, Blackrock, Co Dublin,53.3016723,-6.189702,NULL,341
344,Colaiste Bhride, Carnew, Co Wicklow,52.709856,-6.5019658,NULL,347
354,Colaiste Sheosaimh, Ballinasloe, Co Galway,53.3237275,-8.247847,NULL,357
360,Colaiste Bhreanainn, Killarney, Co Kerry,52.0608288,-9.5159678,NULL,363
361,Athlone Community College, Retreat Road, Co Westmeath,53.4242631,-7.9206865,NULL,364
370,Castleisland Community College, Castleisland, Co Kerry,52.2272999,-9.4567093,NULL,373
374,Colaiste na hInse, Bettystown, Co Meath,53.6927772,-6.2445807,NULL,377
383,Presentation College, Bray, Co Wicklow,53.1928723,-6.1013037,NULL,386
388,Hartstown Community School, Clonsilla, Dublin 15,53.3961378,-6.4160563,NULL,391
402,St Mary's Diocesan School, Drogheda,  Co Louth,53.7082726,-6.3473201,NULL,405
418,Colaiste Cholmcille, Ballyshannon, Co Donegal,54.5032433,-8.1842886,NULL,421
423,St Joseph's Community College, Kilkee, Co Clare,52.6818076,-9.646753,NULL,426
430,Holy Family Community School, Rathcoole,  Co Dublin,53.2801699,-6.4767635,NULL,433
437,Gairmscoil na bPiarsach, Rosmuc, Co Galway (G)                                                    ,53.3868091,-9.6105291,NULL,440
463,Fingal Community College, Swords, Co Dublin,53.460312,-6.217521,NULL,466
464,St Clare's College, Ballyjamesduff, Co Cavan,53.8655449,-7.1973026,NULL,467
466,Davis College, Summerhill, Co Cork,52.1250351,-8.6414357,NULL,469
467,Crana College, Buncrana, Co Donegal,55.1349829,-7.4576821,NULL,470
468,Ard Scoil Chiarain Naofa, Clara, Co Offaly ,53.3406303,-7.6124299,NULL,471
470,Glanmire Community College, Glanmire, Co Cork,51.930853,-8.3843843,NULL,473
472,St Mary's Holy Faith, Killester, Dublin 5,53.3792627,-6.2038294,NULL,475
397,CBS, Midleton, Co Cork,51.9072005,-8.1703219,62360G,400
473,Gairmscoil Mhuire, Athenry, Co Galway                                                          ,53.3013971,-8.7455249,NULL,476
477,Adamstown Community College, Lucan, Co Dublin,53.3365342,-6.4622851,NULL,480
2,Colaiste Iosagain, Booterstown, Co Dublin,53.3020994,-6.2063058,60042F,5
3,Loreto College, St Stephen's Green, Dublin 2,53.3368283,-6.2563519,60820E,6
4,Presentation Brothers College, Mardyke, Cork,51.8975894,-8.4850617,62570R,7
5,Gonzaga College, Ranelagh, Dublin 6,53.3169236,-6.2492744,60530S,8
6,The Teresian School, Donnybrook, Dublin 4,53.3149227,-6.2279599,60892G,9
7,Scoil Mhuire, Sidney Place, Cork,51.9022221,-8.4679331,62690E,10
8,Muckross Park College, Donnybrook, Dublin 4,53.321763,-6.2424904,60710U,11
9,Mount Anville Secondary School, Goatstown, Dublin 14,53.2930822,-6.2231361,60140F,12
10,Colaiste na Coiribe, Knocknacarra, Galway,53.2695159,-9.1236778,71330V,13
11,Holy Child School Killiney, Co Dublin, ,53.2531446,-6.114055,60250M,14
12,Blackrock College, Blackrock, Co Dublin (B),53.3032244,-6.191163,60030V,15
13,Castleknock College, Castleknock, Dublin 15,53.3682815,-6.3683856,60100Q,16
14,Sandford Park School, Ranelagh, Dublin 6,53.3228313,-6.2497797,60640C,17
15,St Conleth's College, Ballsbridge, Dublin 4,53.3279611,-6.2403492,60590N,18
16,Colaiste Eoin, Booterstown, Co Dublin,53.3025696,-6.2049226,60041D,19
17,Christian Brothers College, Sidney Hill, Cork,51.9036375,-8.4681664,62520C,20
18,Loreto High School Beaufort, Rathfarnham, Dublin 14,53.2921079,-6.2832087,60340N,21
20,Belvedere College, Great Denmark Street, Dublin 1,53.355811,-6.262495,60520P,23
21,Mount Sackville Secondary School, Chapelizod, Dublin 20,53.359926,-6.358112,60120W,24
22,Colaiste Iognaid SJ, Sea Road, Galway,53.2693582,-9.0616526,62970K,25
23,Loreto College, Foxrock, Dublin 18,53.2724078,-6.1753241,60240J,26
24,St Andrew's College, Blackrock, Co Dublin,53.306436,-6.1976358,60650F,27
25,Holy Faith Secondary School, Clontarf, Dublin 3,53.360006,-6.1978615,60750J,28
26,Alexandra College, Milltown, Dublin 6 (B),53.3109345,-6.2483265,60910F,29
27,Mount Mercy College, Model Farm Road, Cork,51.8900721,-8.5169905,62661U,30
28,St Mary's College, Rathmines, Dublin 6,53.3274498,-6.2672497,60560E,31
30,St Gerard's School, Bray, Co Wicklow,53.20457,-6.135569,61811I,33
31,Clongowes Wood College, Clane, Co Kildare (B),53.3114357,-6.6841632,61720F,34
32,St Joseph of Cluny, Killiney, Co Dublin,53.2708551,-6.1240119,60260P,35
34,Glenstal Abbey School, Murroe, Co Limerick (B),52.6606116,-8.3889565,64150F,37
35,St Kilian's Deutsche Schule, Clonskeagh, Dublin 14,53.3037622,-6.2295964,60630W,38
36,Rosemont School, Sandyford, Dublin 18,53.2610648,-6.2287431,60930L,39
39,The High School, Rathgar, Dublin 6,53.3059009,-6.2729587,60670L,42
40,Crescent College Comprehensive, Dooradoyle, Limerick,52.6366286,-8.640789,81014R,43
41,Gaelcholaiste Luimnigh, Limerick\n, ,52.6665912,-8.6201342,76101I,44
43,Loreto Abbey Secondary School, Dalkey, Co Dublin,53.2795181,-6.0996002,60130C,46
44,St Mary's Secondary School, Mallow, Co Cork,52.141404,-8.641123,62350D,47
45,Gaelcholaiste na Mara, Arklow, Co Wicklow,52.8013701,-6.1669672,76106S,48
46,Colaiste Cois Life, Lucan,  Co Dublin,53.3496817,-6.4356457,76065H,49
47,St Wolstan's Community School, Celbridge, Co Kildare,53.3339478,-6.5612202,91505T,50
48,Regina Mundi College, Douglas Road, Cork,51.8835043,-8.4437439,62691G,51
49,Ardscoil Ris, North Circular Road, Limerick,52.665479,-8.6408913,64201T,52
52,Catholic University School, Lower Leeson Street, Dublin 2,53.3352708,-6.2558832,60540V,55
53,Newbridge College, Newbridge, Co Kildare,53.188628,-6.7934194,61680T,56
54,Coláiste Naomh Mhuire, Naas, Co Kildare,53.2202205,-6.6637766,61730I,57
55,Scoil Mhuire, Trim, Co Meath,53.5524517,-6.790107,64450R,58
56,Ardscoil Ris, Griffith Avenue, Dublin 9,53.3692639,-6.228192,60420L,59
57,St Joseph's College, Nun's Island, Galway,53.2725622,-9.0579615,62960H,60
58,Maynooth Community College, Maynooth, Co Kildare,53.3843289,-6.5954684,76193Q,61
59,Loreto Secondary School, St Michael's, Navan,53.6520087,-6.6762401,64370T,62
60,Castleknock Community College, Castleknock, Dublin 15,53.371686,-6.390483,76062B,63
61,Wesley College, Ballinteer, Dublin 16 (B),53.2785599,-6.2420009,61010U,64
62,St Angela's College, St Patrick's Hill, Cork,51.9028905,-8.4701155,62640M,65
63,Santa Sabina Dominican College, Sutton, Dublin 13,53.3874264,-6.1004037,60380C,66
64,Cistercian College, Roscrea, Co Tipperary (B),52.9626356,-7.8548206,65410K,67
65,Rockwell College, Cashel, Co Tipperary (B),52.4578294,-7.8927428,65300D,68
66,Kilkenny College, Castlecomer Road, Kilkenny (B),52.6677089,-7.2475081,61570M,69
67,Sutton Park School, Sutton, Dublin 13,53.3766884,-6.0931013,60381E,70
68,The King's Hospital, Palmerstown, Dublin 20 (B),53.3588868,-6.387131,60272W,71
69,Gaelcholaiste Chiarrai, Tralee, Co Kerry,52.2667396,-9.6989362,70560K,72
70,St Mary's Secondary School, Macroom, Co Cork,51.9036256,-8.9579788,62320R,73
71,St Francis Capuchin College, Rochestown, Co Cork,999,999,71020G,74
72,St Joseph's Secondary School, Castlebar, Co Mayo,53.8558383,-9.2908054,64590K,75
73,St Mary's Secondary School, Nenagh, Co Tipperary,52.8650613,-8.2017081,65380E,76
75,Our Lady's School, Terenure, Dublin 6W,53.3004921,-6.2961531,60860Q,78
76,Presentation Secondary School, Mitchelstown, Co Cork,52.2654128,-8.2653065,62421A,79
78,Gaelcholaiste Cheatharlach, Askea, Co Carlow,52.8368409,-6.9108865,70440A,81
79,Coláiste Ghobnait, Inis O\xc3\xadrr, Aran Islands,53.063474,-9.5225605,71370K,82
80,Presentation College, Athenry, Co Galway,53.2990914,-8.7619332,62870G,83
81,Loreto Secondary School, Spawell Road, Co Wexford,52.3226218,-6.4854942,63660A,84
82,Scoil Chaitriona, Glasnevin, Dublin 9,53.3745441,-6.2623067,60700R,85
83,Laurel Hill Secondary School FCJ, South Circular Road, Limerick,52.6549898,-8.6363918,64270P,86
84,St Colmcille's Community School, Knocklyon, Dublin 16,53.2786269,-6.315072,91510M,87
85,Colaiste Muire, Ennis, Co Clare,52.8469905,-8.9854667,61930Q,88
87,Terenure College, Terenure, Dublin 6W,53.3038,-6.2942162,60570H,90
89,St Peter's College, Dunboyne, Co Meath,53.4185002,-6.468379,71950F,92
90,Loreto College, Cavan, ,54.0127666,-7.3737017,61070P,93
91,Eureka Secondary School, Kells, Co Meath,53.7304775,-6.8860615,64410F,94
92,Our Lady's Bower, Athlone, Co Westmeath,53.4225836,-7.9220011,63210P,95
93,Colaiste Oiriall, Monaghan                           , ,54.2625795,-6.9504065,76091I,96
94,Colaiste Na Toirbhirte, Bandon, Co Cork,51.740204,-8.731043,62061T,97
95,St Joseph's College, Thurles, Co Tipperary,52.748946,-7.9599165,65241N,98
96,Castletroy College, Newtown, Co Limerick,52.6631336,-8.5408984,76073G,99
97,Calasanctius College, Oranmore, Co Galway,53.267645,-8.9332681,63100I,100
98,St Joseph's College, Lucan, Co Dublin,53.3579268,-6.4409843,60263V,101
100,Loreto Secondary School, Fermoy, Co Cork,52.135928,-8.2773,62270F,103
101,Gaelcholaiste Reachrann, Donaghmede, Dublin 13,53.3993137,-6.1561837,76085N,104
102,St Kieran's College Secondary School, College Road, Kilkenny,52.6475799,-7.2549442,61560J,105
103,Presentation Secondary School, Listowel, Co Kerry,52.448081,-9.4937056,61380H,106
104,Malahide Community School, Malahide, Co Dublin,53.438265,-6.1526534,91325R,107
105,Ashton School, Blackrock Road, Cork,51.8925892,-8.4518135,81008W,108
106,Mount St Michael, Claremorris, Co Mayo,53.732416,-9.0014401,64620Q,109
107,Scoil Mhuire, Ballingeary, Co Cork (G),51.8479875,-9.235342,70931T,110
108,Sacred Heart Secondary School, Clonakilty, Co Cork,51.6269542,-8.8799914,62170B,111
109,St Gerald's College, Castlebar, Co Mayo,53.8574365,-9.3080468,64580H,112
110,Salesian College, Celbridge, Co Kildare,53.3583155,-6.5523368,61661P,113
111,Seamount College, Kinvara, Co Galway,53.1387045,-8.9352155,63050T,114
114,Colaiste Choilm, Ballincollig, Co Cork,51.8897506,-8.580173,71103K,117
115,Colaiste An Phiarsaigh, Glanmire, Co Cork (B),51.9180756,-8.398856,62301N,118
116,Pobalscoil Chorca Dhuibhne, Bothar an Spa, Dingle,52.143275,-10.2672394,91511O,119
117,Villiers Secondary School, North Circular Road, Limerick (B),52.6615983,-8.6584185,64310B,120
120,De La Salle College, Macroom, Co Cork,51.9064068,-8.9643844,62310O,123
122,Colaiste Eanna CBS, Ballyroan, Dublin 16,53.2859957,-6.2962697,60342R,125
123,Gaelcholaiste Chill Dara, Loiste, Herbert,53.2158046,-6.6691701,68072I,126
124,Scoil Phobail Mhic Dara, Carna, Co Galway (G),53.323963,-9.818426,91411K,127
127,St Fintan's High School, Sutton, Dublin 13,53.3892178,-6.1179363,60370W,130
128,Colaiste an Spioraid Naoimh, Bishopstown, Cork,51.8829286,-8.517108,62580U,131
129,Mount St Michael, Rosscarbery, Co Cork,51.583032,-9.0257308,62470N,132
130,Lucan Community College, Esker, Lucan,53.3476706,-6.4497507,70080T,133
131,Tarbert Comprehensive School, Listowel, Co Kerry,52.5739636,-9.3837619,81006S,134
132,Sacred Heart Secondary School, Drogheda, Co Louth,53.7112734,-6.343114,63860I,135
133,Templeogue College, Templeville Road, Dublin 6W,53.3041375,-6.3119162,60562I,136
134,Christ King Girls' Secondary School, South Douglas Road, Cork,51.8845041,-8.4624111,62692I,137
136,Holy Rosary College, Mountbellew, Co Galway,53.4695915,-8.4974634,63090I,139
137,Colaiste Chroi Mhuire, Spiddal, Co Galway (G),53.2437593,-9.3074602,63130R,140
138,Scoil Mhuire, Ennistymon, Co Clare,52.9388548,-9.2986566,61950W,141
139,St Vincent's Secondary School, Dundalk, Co Louth,54.005274,-6.391834,63900R,142
142,Colaiste Raithin, Bray, Co Wicklow,53.2096484,-6.109433,70821M,145
143,Colaiste an Eachréidh, Athenry, Co Galway,53.3011203,-8.7467822,76102K,146
144,Scoil Chuimsitheach Chiarain, Carraroe, Co Galway (G),53.2622391,-9.5978179,81012N,147
145,Maryfield College, Drumcondra, Dublin 9,53.3760038,-6.235165,60840K,148
147,St Anne's Community College, Killaloe, Co Clare,52.8030727,-8.4402273,70901K,150
148,Balla Secondary School, Balla, Co Mayo,53.8071689,-9.1375791,64500G,151
150,St Benildus College, Kilmacud, Dublin 14,53.2846602,-6.2213697,60261R,153
153,Ratoath College, Jamestown, Co Meath,53.499422,-6.4575933,76088T,156
154,Meanscoil San Nioclas, Rinn O gCuanach, Co Waterford (G),52.0477152,-7.5755797,76066J,157
155,Colaiste Ghobnatan, Ballymakeera, Co Cork (G),51.9392118,-9.1558049,70920O,158
157,Our Lady's Secondary School, Belmullet, Co Mayo,54.2135644,-9.9824053,64570E,160
158,St Mary's Secondary School, New Ross, Co Wexford,52.3995627,-6.9307021,63620L,161
159,St Louis High School, Rathmines, Dublin 6,53.3215157,-6.2705757,60890C,162
160,Loreto Secondary School, Balbriggan, Co Dublin,53.6125785,-6.1858034,60010P,163
161,St Flannan's College, Ennis, Co Clare,52.8336549,-8.9835507,61920N,164
162,Sacred Heart Secondary School, Tullamore, Co Offaly,53.2766602,-7.4851351,65620V,165
163,Mercy College, Woodford, Co Galway,53.0488882,-8.3971015,63171I,166
164,Scoil Dara, Kilcock, Co Kildare,53.4029847,-6.6704329,61691B,167
166,Loreto Secondary School, Clonmel, Co Tipperary,52.3503221,-7.6941296,65330M,169
170,Confey Community College, Leixlip, Co Kildare,53.3728402,-6.4983019,70691C,173
171,Ardscoil Ui Urmoltaigh, Bandon, Co Cork,51.746973,-8.7442525,62050O,174
172,Oatlands College, Stillorgan, Co Dublin,53.2926895,-6.2026421,60050E,175
173,Presentation Secondary School, Loughboy, Kilkenny,52.638977,-7.2472105,61590S,176
174,Community College, Dunshaughlin, Co Meath,53.5138304,-6.5497252,71960I,177
175,St Louis Secondary School, Carrickmacross, Co Monaghan,53.9733154,-6.7184699,64760J,178
176,St Mary's Knockbeg College, Knockbeg, Co Carlow,52.867315,-6.9377338,61130H,179
177,Stratford College, Rathgar, Dublin 6,53.3097011,-6.2743134,61020A,180
179,Loreto Secondary School, Bray, Co Wicklow,53.1968412,-6.1065022,61820J,182
180,Sligo Grammar School, The Mall, Sligo (B),54.2729652,-8.463732,65190W,183
181,Presentation College, Tuam, Co Galway,53.5179802,-8.8490486,63170G,184
184,Sacred Heart School, Westport, Co Mayo,53.8012648,-9.5175595,64710R,187
185,Presentation Secondary School, Tralee, Co Kerry,52.2660639,-9.7000182,61450C,188
187,Our Lady's Secondary School, Castleblayney, Co Monaghan,54.1192092,-6.7432266,64770M,190
188,St Mary's Secondary School, Ballina, Co Mayo,54.1158044,-9.1628981,64520M,191
191,St Paul's Secondary School, Oughterard, Co Galway,53.4302059,-9.3291638,63101K,194
192,Midleton College, Midleton, Co Cork (B),51.910309,-8.167486,71050P,195
194,St David's Secondary School, Greystones, Co Wicklow,53.1467248,-6.0609531,61830M,197
195,Mohill Community College, Co Leitrim, 2Mohill Community College,53.9228706,-7.8715063,76089V,198
196,St Louis Secondary School, Monaghan, ,54.2449085,-6.9727512,64820B,199
197,Colaiste Cholmain, Claremorris, Co Mayo,53.7351315,-8.9808415,64610N,200
198,Meanscoil na mBraithre Criostai, James Street, Kilkenny,52.6530261,-7.2561542,61550G,201
199,Rathmines College, Rathmines, Dublin 6,53.3240796,-6.2652375,70280E,202
201,St Dominic's College, Cabra, Dublin 7,53.3714993,-6.3075605,60731F,204
202,St Macartan's College, Monaghan, ,54.2639066,-6.9562484,64810V,205
203,Portmarnock Community School, Portmarnock, Co Dublin,53.431772,-6.13749,91324P,206
205,Drogheda Grammar School, Drogheda, Co Louth,53.7185462,-6.3035134,63870L,208
206,Ballinamore Community School, Ballinamore, Co Leitrim,54.0582796,-7.7926755,91519H,209
207,Pobalscoil Inbhear Sceine, Kenmare, Co Kerry,51.8821731,-9.5830017,91503P,210
208,Franciscan College, Gormanston, Co Meath,53.6344819,-6.2358322,64420I,211
210,St Mary's Secondary School, Charleville, Co Cork,52.3543921,-8.6866722,62450H,213
