G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
20148,20.0,240,71.83,862,12.67,152,41.08,493,17.83,214,5.92,71,0.08,1,2.92,35,31.92,383,2.42,29,91.0,1092,1.58,19
20149,21.58,259,41.17,494,10.33,124,37.75,453,10.08,121,4.75,57,0.08,1,1.58,19,23.08,277,3.0,36,82.75,993,2.0,24
20150,98.0,1176,184.33,2212,81.08,973,160.33,1924,68.58,823,22.33,268,0.67,8,12.58,151,188.17,2258,14.17,170,359.75,4317,11.67,140
20151,18.0,216,27.33,328,2.67,32,27.25,327,4.58,55,1.5,18,0.08,1,1.0,12,21.33,256,0.83,10,51.75,621,1.17,14
20153,10.42,125,34.92,419,3.25,39,28.83,346,9.42,113,1.25,15,0.08,1,1.42,17,9.0,108,1.25,15,61.17,734,2.83,34
20154,170.0,2040,245.42,2945,193.67,2324,313.92,3767,126.17,1514,31.33,376,0.5,6,59.67,716,511.42,6137,18.42,221,618.17,7418,19.25,231
20156,17.75,213,59.75,717,10.92,131,41.75,501,15.75,189,3.33,40,0.25,3,3.17,38,30.75,369,1.75,21,70.5,846,1.92,23
20157,4.25,51,25.75,309,3.25,39,10.08,121,5.0,60,1.42,17,0.0,0,0.67,8,4.17,50,0.83,10,20.83,250,0.5,6
20158,3.33,40,7.25,87,1.25,15,4.67,56,2.67,32,0.42,5,0.0,0,0.58,7,2.17,26,0.33,4,10.58,127,0.25,3
20159,28.33,340,53.33,640,10.58,127,62.92,755,14.0,168,4.67,56,0.08,1,2.0,24,50.25,603,0.92,11,76.33,916,3.17,38
20160,68.0,816,130.5,1566,31.83,382,132.42,1589,43.25,519,12.75,153,0.75,9,17.83,214,116.25,1395,11.75,141,188.75,2265,10.25,123
20161,9.58,115,37.0,444,3.33,40,20.67,248,9.08,109,1.08,13,0.08,1,1.08,13,4.92,59,2.17,26,41.58,499,0.92,11
20162,20.75,249,55.42,665,11.83,142,42.42,509,17.08,205,6.58,79,0.0,0,7.25,87,38.33,460,1.42,17,73.92,887,2.83,34
20163,25.08,301,69.67,836,29.0,348,71.92,863,26.5,318,6.75,81,0.42,5,2.58,31,49.42,593,1.83,22,161.67,1940,2.83,34
20164,6.0,72,24.75,297,1.92,23,13.5,162,4.33,52,0.83,10,0.17,2,0.5,6,16.25,195,0.5,6,24.75,297,0.33,4
20167,5.08,61,15.33,184,1.67,20,6.25,75,3.33,40,0.17,2,0.0,0,0.0,0,2.17,26,0.25,3,20.17,242,0.33,4
20168,5.83,70,17.17,206,0.83,10,11.0,132,4.75,57,0.83,10,0.0,0,0.5,6,3.08,37,0.75,9,16.83,202,0.5,6
20169,4.17,50,10.83,130,3.33,40,7.08,85,2.08,25,0.92,11,0.08,1,0.58,7,5.0,60,1.08,13,12.67,152,0.5,6
20170,3.75,45,11.33,136,3.5,42,12.0,144,2.58,31,0.5,6,0.08,1,0.42,5,4.58,55,0.17,2,9.0,108,0.58,7
20172,95.58,1147,171.17,2054,145.25,1743,247.58,2971,108.83,1306,39.83,478,0.67,8,56.17,674,385.17,4622,6.92,83,456.25,5475,18.0,216
20173,6.92,83,19.75,237,5.75,69,23.92,287,11.5,138,2.75,33,0.08,1,1.67,20,13.83,166,0.17,2,29.17,350,0.67,8
20175,7.08,85,19.67,236,4.58,55,17.67,212,8.17,98,2.08,25,0.0,0,2.42,29,8.25,99,0.33,4,40.5,486,0.83,10
20176,10.67,128,24.5,294,8.75,105,22.92,275,8.83,106,0.75,9,0.08,1,2.83,34,6.92,83,0.17,2,32.08,385,1.08,13
20177,3.42,41,10.0,120,3.25,39,5.67,68,4.08,49,1.0,12,0.0,0,0.67,8,2.25,27,0.0,0,8.58,103,0.08,1
20178,10.08,121,25.83,310,4.17,50,17.42,209,5.92,71,1.83,22,0.08,1,1.42,17,9.92,119,0.42,5,29.17,350,1.33,16
20179,11.92,143,25.83,310,8.25,99,22.42,269,8.33,100,6.42,77,0.08,1,5.58,67,15.5,186,0.08,1,34.83,418,1.17,14
20180,50.75,609,105.75,1269,40.0,480,90.08,1081,71.25,855,14.58,175,0.33,4,31.08,373,185.0,2220,3.08,37,201.92,2423,9.08,109
20181,19.58,235,50.58,607,3.58,43,31.5,378,13.42,161,3.92,47,0.08,1,2.0,24,27.58,331,0.75,9,65.5,786,2.0,24
20182,17.75,213,65.83,790,12.17,146,40.25,483,20.5,246,0.92,11,0.08,1,2.67,32,29.58,355,1.83,22,77.42,929,2.83,34
20183,76.25,915,100.67,1208,97.33,1168,130.17,1562,48.17,578,16.25,195,0.5,6,61.33,736,186.08,2233,6.0,72,240.25,2883,13.67,164
20184,7.42,89,22.42,269,4.25,51,13.33,160,4.83,58,1.33,16,0.08,1,0.33,4,7.33,88,0.58,7,24.17,290,1.25,15
20185,73.42,881,106.75,1281,60.5,726,151.67,1820,66.92,803,23.25,279,0.08,1,19.67,236,209.0,2508,3.25,39,228.83,2746,7.5,90
20186,5.67,68,23.25,279,6.67,80,17.83,214,7.42,89,2.25,27,0.17,2,0.83,10,8.08,97,0.42,5,38.92,467,1.25,15
20187,7.5,90,23.75,285,3.0,36,17.67,212,6.75,81,2.0,24,0.25,3,1.25,15,14.33,172,0.25,3,36.33,436,0.58,7
20189,4.33,52,14.25,171,3.08,37,8.42,101,7.92,95,0.42,5,0.0,0,0.33,4,6.58,79,0.08,1,15.83,190,0.67,8
20190,6.92,83,15.08,181,2.08,25,11.0,132,5.25,63,1.33,16,0.0,0,0.42,5,4.83,58,0.25,3,20.42,245,0.67,8
20191,6.42,77,17.58,211,3.92,47,13.58,163,4.83,58,2.42,29,0.08,1,1.0,12,5.75,69,0.08,1,26.0,312,0.75,9
20192,58.17,698,82.17,986,42.58,511,101.25,1215,46.92,563,13.08,157,0.25,3,11.17,134,145.58,1747,2.17,26,145.67,1748,6.83,82
20193,4.17,50,10.17,122,5.25,63,10.17,122,4.0,48,0.5,6,0.0,0,0.58,7,3.67,44,0.0,0,13.17,158,1.08,13
20194,9.33,112,15.25,183,5.42,65,11.67,140,9.08,109,1.0,12,0.0,0,0.58,7,7.83,94,0.17,2,19.58,235,2.5,30
20195,9.75,117,23.42,281,6.83,82,15.17,182,5.92,71,1.5,18,0.0,0,1.42,17,7.58,91,0.33,4,32.5,390,0.67,8
20197,6.83,82,19.5,234,4.5,54,11.83,142,9.75,117,1.08,13,0.0,0,0.42,5,8.08,97,0.08,1,27.25,327,0.92,11
20198,5.0,60,7.58,91,3.33,40,6.75,81,3.67,44,0.58,7,0.0,0,0.33,4,4.92,59,0.08,1,11.0,132,0.5,6
20199,70.08,841,94.75,1137,73.42,881,117.0,1404,55.33,664,23.67,284,0.33,4,23.92,287,203.5,2442,3.17,38,222.25,2667,14.67,176
20200,15.42,185,33.17,398,35.75,429,26.08,313,23.67,284,4.08,49,0.08,1,1.83,22,21.67,260,0.67,8,67.0,804,5.08,61
20201,12.92,155,33.75,405,13.0,156,35.33,424,11.17,134,2.42,29,0.0,0,1.17,14,18.5,222,1.75,21,78.5,942,3.25,39
20202,15.5,186,51.0,612,15.0,180,33.17,398,11.17,134,3.25,39,0.0,0,2.33,28,20.0,240,1.17,14,55.42,665,3.75,45
20203,4.92,59,13.33,160,4.42,53,8.92,107,5.0,60,0.42,5,0.0,0,0.67,8,5.33,64,0.17,2,18.08,217,0.58,7
20204,7.5,90,18.5,222,21.17,254,25.17,302,5.25,63,1.42,17,0.0,0,0.42,5,5.17,62,0.5,6,74.75,897,1.75,21
20205,5.83,70,17.08,205,4.75,57,8.42,101,2.58,31,0.67,8,0.0,0,0.42,5,3.33,40,0.42,5,18.42,221,1.08,13
20206,329.67,3956,446.58,5359,467.83,5614,678.92,8147,180.5,2166,71.58,859,1.33,16,260.42,3125,1188.17,14258,46.0,552,1377.42,16529,67.58,811
20207,7.58,91,15.92,191,5.67,68,18.92,227,8.0,96,0.42,5,0.0,0,0.58,7,19.17,230,0.33,4,28.83,346,0.33,4
20208,23.5,282,38.58,463,19.08,229,40.25,483,22.33,268,3.75,45,0.33,4,6.67,80,33.75,405,1.75,21,60.5,726,3.08,37
20209,1.92,23,7.25,87,3.42,41,6.42,77,3.08,37,0.25,3,0.08,1,0.0,0,3.5,42,0.25,3,15.92,191,0.5,6
20210,5.08,61,10.33,124,3.0,36,10.5,126,5.25,63,0.67,8,0.0,0,1.08,13,9.42,113,0.25,3,16.25,195,0.67,8
20211,2.08,25,11.33,136,2.25,27,5.92,71,3.33,40,0.33,4,0.0,0,0.17,2,2.83,34,0.08,1,13.17,158,0.58,7
20212,3.0,36,8.17,98,2.75,33,4.5,54,4.83,58,0.58,7,0.0,0,0.33,4,4.92,59,0.08,1,9.92,119,0.42,5
20213,82.5,990,75.0,900,76.5,918,142.58,1711,61.33,736,14.08,169,0.75,9,17.83,214,255.33,3064,3.25,39,217.42,2609,14.17,170
20214,7.08,85,13.42,161,3.0,36,14.0,168,4.83,58,0.58,7,0.17,2,0.92,11,9.92,119,0.42,5,17.08,205,0.75,9
20215,3.83,46,7.92,95,2.33,28,5.58,67,4.17,50,0.33,4,0.0,0,1.42,17,5.92,71,0.0,0,9.33,112,0.5,6
20216,3.08,37,8.67,104,0.83,10,5.33,64,2.58,31,0.33,4,0.0,0,0.25,3,4.0,48,0.0,0,13.5,162,0.42,5
20217,2.42,29,4.5,54,1.33,16,4.92,59,1.92,23,0.25,3,0.08,1,0.08,1,2.58,31,0.17,2,6.17,74,0.17,2
20218,1.25,15,4.08,49,1.5,18,4.67,56,3.17,38,0.25,3,0.08,1,0.33,4,3.42,41,0.08,1,6.92,83,0.5,6
20219,7.92,95,13.58,163,3.08,37,12.67,152,5.17,62,1.75,21,0.0,0,1.67,20,14.92,179,0.08,1,16.83,202,1.17,14
20220,58.42,701,51.5,618,65.08,781,106.0,1272,43.92,527,6.5,78,0.25,3,8.33,100,189.42,2273,2.58,31,126.92,1523,7.92,95
20221,5.17,62,7.67,92,3.0,36,9.17,110,2.5,30,0.33,4,0.0,0,0.25,3,6.17,74,0.08,1,15.67,188,0.25,3
20222,7.42,89,12.67,152,5.33,64,14.17,170,6.92,83,0.5,6,0.08,1,0.92,11,16.5,198,0.25,3,21.75,261,2.0,24
20223,2.0,24,11.5,138,4.0,48,6.67,80,7.08,85,1.08,13,0.0,0,0.58,7,5.17,62,0.58,7,18.25,219,1.0,12
20224,9.08,109,8.17,98,7.67,92,15.42,185,5.42,65,0.42,5,0.0,0,0.75,9,13.33,160,0.42,5,16.75,201,1.0,12
20225,2.75,33,5.0,60,0.67,8,5.67,68,1.67,20,0.33,4,0.0,0,0.17,2,1.5,18,0.0,0,10.33,124,0.17,2
20226,4.42,53,12.25,147,2.5,30,9.08,109,4.5,54,0.5,6,0.0,0,0.5,6,5.08,61,0.25,3,21.83,262,0.83,10
20228,198.5,2382,249.58,2995,205.0,2460,250.5,3006,140.58,1687,46.25,555,0.58,7,63.58,763,805.33,9664,8.25,99,688.58,8263,19.58,235
20229,3.08,37,9.17,110,1.25,15,2.5,30,2.75,33,0.42,5,0.0,0,0.17,2,3.42,41,0.08,1,9.17,110,0.33,4
20230,15.67,188,24.25,291,5.0,60,25.75,309,7.17,86,3.25,39,0.0,0,1.42,17,25.33,304,0.67,8,38.67,464,1.0,12
20231,21.42,257,45.42,545,13.58,163,31.92,383,13.75,165,3.25,39,0.0,0,3.75,45,39.5,474,1.42,17,59.92,719,1.92,23
20232,3.0,36,19.0,228,6.42,77,13.58,163,5.75,69,0.92,11,0.0,0,0.58,7,8.08,97,0.58,7,28.83,346,0.5,6
20234,12.25,147,13.0,156,12.5,150,20.83,250,11.83,142,7.25,87,0.08,1,1.92,23,31.58,379,0.17,2,37.33,448,2.5,30
20235,2.08,25,12.0,144,2.42,29,6.42,77,5.42,65,0.83,10,0.0,0,0.25,3,4.92,59,0.17,2,15.0,180,0.25,3
20236,6.75,81,19.0,228,4.67,56,15.67,188,8.92,107,1.33,16,0.0,0,0.75,9,19.42,233,0.5,6,27.25,327,0.83,10
20237,1.67,20,6.17,74,1.0,12,5.0,60,3.25,39,2.75,33,0.0,0,0.25,3,2.92,35,0.08,1,10.25,123,0.17,2
20238,2.17,26,8.67,104,2.17,26,6.0,72,4.17,50,0.5,6,0.08,1,0.33,4,3.42,41,0.0,0,16.0,192,0.42,5
20240,1.67,20,7.17,86,0.75,9,4.25,51,1.0,12,0.08,1,0.0,0,0.42,5,1.25,15,0.08,1,6.33,76,0.5,6
20241,2.58,31,7.33,88,2.83,34,5.25,63,3.83,46,0.58,7,0.0,0,2.0,24,3.17,38,0.17,2,14.17,170,0.5,6
20242,5.17,62,17.42,209,3.75,45,9.58,115,4.08,49,1.58,19,0.08,1,0.42,5,7.0,84,0.17,2,19.08,229,0.42,5
20243,62.17,746,62.83,754,56.08,673,98.5,1182,67.75,813,14.58,175,0.17,2,29.58,355,372.25,4467,1.08,13,173.17,2078,9.67,116
20244,4.08,49,7.5,90,1.83,22,7.17,86,3.0,36,0.42,5,0.0,0,0.33,4,9.83,118,0.0,0,11.0,132,0.08,1
20245,2.5,30,9.92,119,3.17,38,5.42,65,5.33,64,0.5,6,0.0,0,1.33,16,9.92,119,0.17,2,9.5,114,0.42,5
20246,7.75,93,19.67,236,7.08,85,14.75,177,7.25,87,0.75,9,0.0,0,1.42,17,19.5,234,0.25,3,30.08,361,1.83,22
20249,10.25,123,23.17,278,6.08,73,15.83,190,8.0,96,2.08,25,0.08,1,0.42,5,24.58,295,0.5,6,39.83,478,1.17,14
20250,3.75,45,9.75,117,4.25,51,11.83,142,4.83,58,0.75,9,0.0,0,1.42,17,9.5,114,0.17,2,20.67,248,1.33,16
20251,94.92,1139,105.17,1262,148.67,1784,169.25,2031,85.08,1021,17.33,208,0.83,10,31.17,374,322.17,3866,8.17,98,292.83,3514,28.58,343
20252,2.17,26,6.5,78,2.58,31,2.67,32,2.92,35,0.42,5,0.0,0,0.42,5,5.83,70,0.0,0,7.42,89,0.17,2
20253,3.0,36,9.0,108,3.17,38,4.25,51,2.17,26,0.58,7,0.0,0,0.17,2,9.33,112,0.25,3,8.25,99,0.5,6
20255,12.17,146,22.67,272,8.5,102,23.33,280,9.67,116,1.42,17,0.17,2,1.25,15,19.0,228,0.42,5,23.42,281,2.67,32
20256,37.25,447,41.33,496,48.75,585,61.58,739,24.5,294,8.17,98,0.17,2,10.08,121,72.17,866,1.75,21,85.67,1028,6.58,79
20257,4.83,58,13.92,167,6.25,75,10.0,120,4.67,56,0.75,9,0.17,2,0.5,6,7.75,93,0.67,8,17.17,206,0.92,11
20258,26.92,323,30.0,360,34.0,408,37.17,446,38.5,462,5.83,70,0.33,4,5.5,66,79.17,950,0.58,7,55.42,665,9.08,109
20259,3.83,46,7.75,93,7.67,92,8.17,98,5.25,63,0.58,7,0.0,0,0.92,11,5.42,65,0.25,3,9.0,108,1.08,13
20260,3.33,40,4.83,58,1.42,17,2.92,35,2.83,34,0.67,8,0.08,1,0.58,7,9.25,111,0.17,2,4.67,56,0.25,3
20262,28.58,343,33.17,398,33.17,398,40.08,481,29.5,354,4.25,51,0.5,6,10.42,125,56.58,679,1.42,17,68.75,825,7.75,93
20263,3.5,42,4.75,57,4.25,51,5.75,69,2.58,31,0.33,4,0.0,0,0.75,9,6.42,77,0.08,1,9.17,110,1.33,16
20264,49.67,596,56.92,683,64.58,775,64.17,770,69.83,838,13.0,156,0.33,4,19.67,236,162.58,1951,1.58,19,156.5,1878,9.67,116
20265,3.67,44,11.5,138,3.0,36,6.17,74,5.75,69,1.58,19,0.0,0,1.75,21,13.92,167,0.0,0,17.17,206,0.42,5
20266,0.5,6,2.42,29,0.0,0,1.0,12,0.5,6,0.08,1,0.0,0,0.08,1,2.58,31,0.17,2,2.25,27,0.25,3
20267,1.33,16,4.67,56,1.42,17,3.92,47,0.67,8,0.08,1,0.0,0,0.08,1,7.92,95,0.08,1,5.92,71,0.33,4
20268,0.58,7,4.83,58,1.0,12,2.08,25,1.83,22,0.25,3,0.0,0,0.08,1,4.5,54,0.0,0,5.33,64,0.08,1
20269,1.67,20,5.17,62,2.58,31,3.08,37,2.0,24,0.17,2,0.0,0,0.0,0,5.5,66,0.0,0,8.58,103,0.17,2
20270,1.67,20,6.33,76,2.42,29,4.08,49,3.25,39,0.42,5,0.0,0,0.17,2,6.5,78,0.08,1,12.08,145,0.42,5
20272,19.92,239,19.33,232,8.67,104,29.58,355,13.83,166,3.33,40,0.0,0,6.5,78,63.75,765,0.67,8,44.25,531,2.75,33
20273,2.42,29,3.33,40,0.17,2,2.0,24,1.92,23,0.08,1,0.08,1,0.0,0,7.58,91,0.0,0,5.25,63,0.42,5
20274,23.67,284,41.67,500,21.25,255,29.33,352,26.08,313,9.58,115,0.0,0,7.92,95,95.08,1141,0.67,8,67.17,806,6.83,82
20275,1.08,13,5.08,61,1.33,16,2.08,25,0.83,10,0.17,2,0.0,0,0.17,2,1.33,16,0.08,1,7.5,90,0.33,4
20276,0.83,10,0.83,10,0.0,0,0.42,5,0.42,5,0.0,0,0.0,0,0.0,0,0.75,9,0.08,1,1.42,17,0.17,2
20277,3.92,47,8.75,105,1.42,17,6.17,74,6.25,75,1.08,13,0.17,2,0.33,4,8.67,104,0.08,1,13.25,159,0.67,8
20278,0.25,3,3.17,38,0.58,7,0.5,6,1.58,19,0.5,6,0.0,0,0.0,0,2.5,30,0.0,0,2.5,30,0.17,2
20279,1.25,15,5.83,70,0.58,7,2.17,26,3.92,47,0.17,2,0.0,0,0.17,2,3.58,43,0.08,1,6.0,72,0.08,1
20280,49.92,599,45.92,551,40.67,488,92.17,1106,42.17,506,10.08,121,0.25,3,15.75,189,148.33,1780,2.0,24,121.83,1462,9.58,115
20282,4.25,51,3.67,44,1.42,17,5.83,70,2.0,24,0.42,5,0.0,0,0.75,9,4.0,48,0.17,2,4.92,59,0.42,5
20283,2.25,27,6.25,75,1.83,22,2.92,35,2.92,35,0.33,4,0.0,0,0.17,2,2.0,24,0.08,1,7.83,94,0.08,1
20284,6.83,82,14.0,168,7.33,88,12.92,155,10.08,121,0.75,9,0.08,1,0.5,6,15.58,187,0.25,3,24.25,291,1.67,20
20285,3.0,36,6.58,79,2.17,26,4.58,55,3.0,36,0.33,4,0.0,0,0.75,9,4.17,50,0.0,0,9.5,114,0.25,3
20286,1.75,21,5.08,61,2.42,29,4.5,54,2.0,24,0.58,7,0.0,0,0.25,3,1.5,18,0.08,1,7.5,90,0.42,5
20288,222.83,2674,143.58,1723,132.58,1591,314.08,3769,114.83,1378,73.67,884,0.42,5,304.75,3657,1252.67,15032,35.83,430,1292.67,15512,35.58,427
20290,116.58,1399,60.42,725,81.92,983,116.42,1397,40.92,491,24.67,296,0.25,3,58.75,705,526.67,6320,12.08,145,437.92,5255,18.67,224
20291,43.75,525,50.0,600,49.5,594,131.25,1575,35.75,429,10.0,120,0.17,2,13.5,162,169.67,2036,3.08,37,225.33,2704,8.42,101
20292,47.0,564,70.92,851,101.42,1217,142.5,1710,50.83,610,14.25,171,0.42,5,16.75,201,160.17,1922,6.08,73,206.58,2479,9.0,108
20293,31.5,378,76.25,915,38.17,458,105.0,1260,39.17,470,29.92,359,0.33,4,6.08,73,131.17,1574,5.67,68,357.92,4295,2.75,33
20294,49.33,592,74.58,895,62.67,752,125.5,1506,56.25,675,11.42,137,0.33,4,11.75,141,153.83,1846,4.67,56,226.83,2722,5.5,66
20295,33.17,398,35.58,427,49.67,596,68.25,819,34.67,416,10.5,126,0.08,1,5.33,64,114.92,1379,1.0,12,112.0,1344,3.25,39
20296,9.83,118,8.17,98,13.17,158,18.5,222,6.75,81,2.0,24,0.0,0,1.83,22,25.42,305,0.33,4,28.92,347,0.83,10
20297,21.08,253,13.67,164,10.25,123,43.0,516,8.92,107,1.75,21,0.0,0,3.33,40,26.25,315,0.33,4,43.08,517,0.92,11
20298,45.42,545,39.33,472,54.75,657,161.75,1941,44.83,538,8.42,101,0.33,4,13.5,162,144.42,1733,5.92,71,170.08,2041,9.0,108
20300,156.67,1880,134.92,1619,170.42,2045,441.58,5299,103.75,1245,25.42,305,0.75,9,29.42,353,454.92,5459,35.42,425,588.92,7067,26.83,322
20302,116.17,1394,88.08,1057,178.25,2139,392.75,4713,65.67,788,14.25,171,0.5,6,39.58,475,354.08,4249,9.67,116,272.08,3265,38.75,465
20303,27.75,333,49.08,589,21.0,252,65.67,788,27.67,332,3.75,45,0.0,0,5.58,67,60.67,728,1.5,18,130.75,1569,3.42,41
20304,39.5,474,45.83,550,53.58,643,121.75,1461,43.33,520,12.83,154,0.0,0,7.25,87,186.75,2241,2.67,32,171.92,2063,7.67,92
20306,61.92,743,18.92,227,41.25,495,94.58,1135,33.58,403,8.08,97,0.75,9,11.42,137,257.83,3094,1.17,14,92.75,1113,4.17,50
20307,13.67,164,12.58,151,10.5,126,18.83,226,20.08,241,3.5,42,0.25,3,3.75,45,24.67,296,0.42,5,40.58,487,0.92,11
20308,29.17,350,31.17,374,33.92,407,68.08,817,29.92,359,10.5,126,0.08,1,6.08,73,81.25,975,1.58,19,125.17,1502,5.92,71
20311,3.08,37,8.58,103,4.92,59,5.75,69,6.67,80,1.42,17,0.0,0,0.67,8,3.92,47,0.0,0,15.83,190,0.33,4
20312,35.08,421,22.17,266,62.92,755,63.83,766,46.42,557,13.75,165,0.17,2,20.25,243,164.83,1978,0.75,9,84.75,1017,5.67,68
20313,5.67,68,10.08,121,13.83,166,10.92,131,11.42,137,2.83,34,0.0,0,1.33,16,12.92,155,0.08,1,23.83,286,1.58,19
